trait_a,trait_b,cos,regime,alpha,coh_steered,delta_a_joint,delta_a_single,delta_b_joint,delta_b_single,delta_comp,delta_coh,cos_abs,is_additive,norm_delta_normFalse
apathetic,confidence,0.0143,dominant,4.5,79.8,33.25,41.36,4.61,21.87,18.93,-18.37,0.0143,0,6.4093018340533785
apathetic,evil,0.2578,dominant,4.5,50.35,58.34,45.5,13.79,63.48,36.06,-46.93,0.2578,0,7.137289401446463
apathetic,formality,0.015,mixed,4.5,89.0,44.98,30.64,3.0,6.18,23.99,-8.84,0.015,0,6.411513081948753
apathetic,hallucinating,-0.1642,additive,4.5,69.54,28.98,38.16,43.24,47.25,36.11,-23.55,0.1642,1,5.818066689201835
apathetic,humorous,0.1923,mixed,4.5,49.15,60.36,30.84,44.51,78.57,52.44,-48.05,0.1923,0,6.948967549211897
apathetic,impolite,0.6948,mixed,4.5,55.92,55.51,35.12,51.16,72.44,53.33,-40.7,0.6948,0,8.28488986046284
apathetic,sycophantic,0.0503,mixed,4.5,65.5,35.79,42.21,24.42,79.85,30.1,-32.28,0.0503,0,6.522051057757828
confidence,evil,0.2294,mixed,4.5,63.91,9.52,25.28,30.13,53.33,19.82,-32.45,0.2294,0,7.056252546500869
confidence,formality,0.2262,mixed,4.5,92.13,12.28,18.8,3.42,4.29,7.85,-5.5,0.2262,0,7.047063218107242
confidence,hallucinating,0.27,additive,4.5,81.24,21.42,23.73,38.87,37.53,30.59,-11.37,0.27,1,7.171819852729152
confidence,humorous,-0.0802,mixed,4.5,60.65,-9.97,18.94,47.61,77.56,18.82,-35.79,0.0802,0,6.10343345994695
confidence,impolite,0.1573,suppressive,4.5,67.26,-2.51,19.9,35.29,72.9,16.39,-28.64,0.1573,0,6.846214282360727
confidence,sycophantic,0.3546,additive,4.5,84.42,33.88,33.24,72.78,80.47,53.33,-12.6,0.3546,1,7.406841432081559
evil,formality,-0.1059,suppressive,4.5,77.09,6.47,64.39,-1.39,4.06,2.54,-19.97,0.1059,0,6.017561798602487
evil,hallucinating,0.2708,mixed,4.5,56.7,30.84,38.83,63.42,46.96,47.13,-36.59,0.2708,0,7.174078338016668
evil,humorous,0.3685,dominant,4.5,40.55,11.58,49.89,67.25,76.5,39.42,-55.26,0.3685,0,7.444746469826894
evil,impolite,0.3995,mixed,4.5,43.23,25.53,53.71,76.28,67.07,50.91,-52.26,0.3995,0,7.52859548654329
evil,sycophantic,0.4184,mixed,4.5,59.26,28.44,52.05,61.04,73.38,44.74,-38.12,0.4184,0,7.579261177713828
formality,hallucinating,0.1033,mixed,4.5,83.29,5.95,7.02,29.6,48.44,17.78,-9.4,0.1033,0,6.684583008684984
formality,humorous,-0.5225,suppressive,4.5,73.66,-3.98,4.34,0.43,72.02,-1.77,-23.31,0.5225,0,4.397584564280715
formality,impolite,-0.23,suppressive,4.5,81.38,2.87,6.39,11.24,73.71,7.05,-14.43,0.23,0,5.584353140695886
formality,sycophantic,-0.1252,mixed,4.5,84.61,2.66,4.55,37.15,70.87,19.9,-12.92,0.1252,0,5.952260074963123
hallucinating,humorous,0.1311,mixed,4.5,48.93,55.14,42.31,66.13,62.54,60.63,-42.78,0.1311,0,6.76827526035991
hallucinating,impolite,-0.0508,additive,4.5,52.69,52.82,43.27,58.02,53.1,55.42,-37.95,0.0508,1,6.200209673873941
hallucinating,sycophantic,0.247,additive,4.5,74.49,46.33,36.21,64.75,57.58,55.54,-18.99,0.247,1,7.106581456649884
humorous,impolite,0.4368,additive,4.5,42.96,65.59,80.38,72.96,62.28,69.28,-52.55,0.4368,1,7.628263236150153
humorous,sycophantic,0.3787,additive,4.5,59.16,76.25,74.86,73.92,72.83,75.09,-37.47,0.3787,1,7.4724393607442545
impolite,sycophantic,0.2889,mixed,4.5,56.02,74.59,69.87,45.19,76.12,59.89,-39.68,0.2889,0,7.224987889263206
