delta_a_single,delta_b_single,delta_a_joint,delta_b_joint,coh_steered_filt,n_kept,pair,cos,ratio_a,ratio_b,supp_mean,mean_joint_abs
41.43698856167997,23.778345160629137,57.77567485101375,-8.17043595511609,55.303725509689784,84,"('apathetic', 'confidence')",0.0143,1.3943019716554268,-0.3436082662574957,0.4746531473010345,32.97305540306492
45.22474199019877,62.52228793497986,64.18221090564708,13.559601503581314,45.262361199610396,69,"('apathetic', 'evil')",0.2578,1.4191835725576238,0.2168762844648718,0.18197007148875222,38.8709062046142
35.28202695123732,6.665316016862349,68.845838545335,1.5008825201024791,74.8611210401253,99,"('apathetic', 'formality')",0.015,1.951300548590523,0.22517799850831516,-0.08823927354941907,35.17336053271874
16.784225494492972,40.82244806036615,43.45891841329574,41.97650235771792,53.99693988911734,41,"('apathetic', 'hallucinating')",-0.1642,2.589271600739333,1.0282700904082287,-0.8087708455737808,42.717710385506834
24.920592807355288,75.85055140096496,61.73683281508526,38.72601587147777,48.698835515103404,46,"('apathetic', 'humorous')",0.1923,2.4773420637435115,0.5105568141062334,-0.4939494389248724,50.23142434328152
35.47614872273589,72.44239644172654,60.12598807684853,57.55880017190464,52.50642401173432,88,"('apathetic', 'impolite')",0.6948,1.6948285042653204,0.7945457770465334,-0.24468714065592678,58.84239412437658
37.950725482113164,77.33112860559126,60.28190150728387,33.97848119271211,49.296477661404346,65,"('apathetic', 'sycophantic')",0.0503,1.5884255371006222,0.43938943870858455,-0.013907487904603277,47.130191349997986
23.99777616835523,47.45053379994721,-6.3830213446356865,45.442956600197455,48.65857178981853,78,"('confidence', 'evil')",0.2294,-0.265983868665826,0.9576911566851122,0.6541463559903569,25.91298897241657
19.55088705540318,4.362694751492455,8.609021796168022,2.533318380627236,83.30432244723072,100,"('confidence', 'formality')",0.2262,0.44033919135084926,0.5806774310214119,0.4894916888138694,5.571170088397629
27.000819456504644,39.4935649793284,21.922879572945817,57.11588977472888,64.26780658702596,99,"('confidence', 'hallucinating')",0.27,0.8119338603134312,1.4462074974650758,-0.1290706788892535,39.51938467383735
15.641853272866442,79.25812833424735,-30.063731821081007,60.28402313689787,40.604257402051104,34,"('confidence', 'humorous')",-0.0802,-1.9220057429660116,0.760603668089008,1.5807010374385018,45.17387747898944
20.914006921029447,69.26961736958881,-16.085289616348554,60.33279989199994,45.533267325889305,78,"('confidence', 'impolite')",0.1573,-0.7691156303565376,0.8709850318660433,0.9490652992452472,38.20904475417424
33.275091560028926,77.93655862894782,36.99623621715584,83.60960498305398,73.46956004158602,100,"('confidence', 'sycophantic')",0.3546,1.1118297345753023,1.0727905677887994,-0.09231015118205077,60.30292060010491
63.9820904919801,4.652620901031284,16.32228170225331,-12.202227594833516,45.18958863486048,47,"('evil', 'formality')",-0.1059,0.2551070397473062,-2.622656746464947,2.1837748533588206,14.262254648543413
28.14622519689319,39.98098814078863,36.49148686861498,69.01366316089909,47.576924160721425,60,"('evil', 'hallucinating')",0.2708,1.2964966567752376,1.7261620177539159,-0.5113293372645766,52.75257501475703
37.66126250594392,78.93045560496736,7.029139989503383,77.9140340792236,44.48574207206213,37,"('evil', 'humorous')",0.3685,0.18664111401985006,0.9871225686212839,0.413118158679433,42.47158703436349
54.187771375446786,69.14162437326327,34.32229375715914,84.42440912801673,44.98685738540732,49,"('evil', 'impolite')",0.3995,0.6333955592923874,1.2210359518348726,0.07278424443637,59.37335144258793
59.31437815600501,79.85204571226224,43.44485228165576,64.52485002596889,49.787179624832824,75,"('evil', 'sycophantic')",0.4184,0.732450606957217,0.8080550654704182,0.22974716378618243,53.98485115381233
5.57409519804105,42.31950783158264,2.3398036331092698,51.85695206183171,59.844175875394484,97,"('formality', 'hallucinating')",0.1033,0.4197638450688044,1.2253675602326208,0.1774342973492874,27.09837784747049
4.690787645889799,70.02753408074409,-5.021969304746449,22.863376011537195,51.1738323323584,63,"('formality', 'impolite')",-0.23,-1.0706025690902552,0.3264912339362822,1.3720556675769866,13.942672658141822
3.8132617925710264,71.99460666660336,-4.0715904080140035,57.151787609247265,44.88597730265357,66,"('formality', 'sycophantic')",-0.1252,-1.0677447889746912,0.7938342919756329,1.1369552484995291,30.611689008630634
46.09671182806681,43.64411290431222,57.574128331740404,58.718394128426276,51.88524415659968,23,"('hallucinating', 'humorous')",0.1311,1.2489855794157831,1.3453909409767073,-0.2971882601962452,58.14626123008334
43.594490198914485,34.4719329220156,40.37460489718674,51.53076637700953,56.19783795080726,25,"('hallucinating', 'impolite')",-0.0508,0.9261400858907642,1.4948615296271728,-0.2105008077589685,45.952685637098135
42.14593371741424,57.177706028270066,63.36245027803581,79.08570699734474,57.55487258371324,93,"('hallucinating', 'sycophantic')",0.247,1.5034060154622968,1.383156346955277,-0.4432811812087869,71.22407863769027
79.22341580023739,60.648291305430774,67.4096554949292,72.42737756896749,44.44858686164447,49,"('humorous', 'impolite')",0.4368,0.8508804475800854,1.1942195898680157,-0.022550018724050602,69.91851653194834
75.57795706837645,64.52587929643637,76.84537968638777,76.30638473220438,48.7181414323695,73,"('humorous', 'sycophantic')",0.3787,1.016769739050563,1.1825702425789124,-0.09966999081473782,76.57588220929608
65.48317554129251,73.88106543145932,82.99224430389025,47.55254226440227,49.16857882398148,76,"('impolite', 'sycophantic')",0.2889,1.267382707357508,0.6436363902807756,0.04449045118085826,65.27239328414626
