drop_trait,n,β_cos,SE,p (param),R²
(none — full),76,0.23450349298858944,0.17756878447686958,0.19098682609827256,0.44594259242461864
apathetic,58,-0.0028309832117149893,0.24370752046242433,0.990777053115034,0.4892415651176212
confidence,55,0.2967439755820454,0.20441389456838,0.15309518047886428,0.5261923691834969
evil,60,0.26631973864905745,0.18366187790610128,0.152935667732772,0.4913545272932216
formality,55,0.3240240525643984,0.21032602838689418,0.12998631559657348,0.3468175478209161
hallucinating,59,0.49557206512512386,0.2035825606370618,0.018392133021940538,0.47330654949630613
humorous,63,0.25348777086202967,0.1745903140109679,0.15210909514726145,0.41126915302941003
impolite,58,0.12806647954109857,0.25936931906170707,0.6235947542320062,0.4040717665201522
power_seeking,68,0.2235024299765396,0.1768850220641071,0.2112006740470025,0.495427490097178
sycophantic,56,0.28190204049392636,0.19443455304587734,0.15346965973209592,0.5640856782038699
