test_type,test,stat,p,n,attenuation_pct,outcome,predictors,n_features,auc_loo,ci_lo,ci_hi,perm_p
spearman,cos_Q,0.15263835263835265,0.3741468022810348,36.0,,,,,,,,
spearman,sem_Q,-0.09214929214929216,0.5929799830194369,36.0,,,,,,,,
spearman_partial,cos_Q_given_sem,0.23577863577863578,0.1662503384523101,36.0,-54.5,,,,,,,
pearson,cos_sem,0.528380498695277,0.0009246344252097066,36.0,,,,,,,,
logistic_lr,1_abs_cos,0.8282828282828283,,,,is_additive,cosine_abs,1.0,0.606060606060606,0.6060606060606061,1.0,0.06479352064793521
logistic_lr,2_sem_sim,0.6464646464646464,,,,is_additive,semantic_similarity,1.0,0.2525252525252525,0.4444444444444444,0.9393939393939393,0.44125587441255876
logistic_lr,3_signed_cos,0.6767676767676767,,,,is_additive,signed_cos,1.0,0.12121212121212117,0.45454545454545453,0.8484848484848485,0.34566543345665435
logistic_lr,4_multi_abs_cos,0.6982830199528492,,,,regime,cosine_abs,1.0,0.43417522876825787,0.619892241413009,0.8536094192545806,0.06029397060293971
logistic_lr,5_abs_cos_sem,0.8181818181818181,,,,is_additive,cosine_abs + sem_sim,2.0,0.47474747474747475,0.6565656565656566,1.0,0.2121787821217878
logistic_lr,6_signed_cos_sem,0.6666666666666666,,,,is_additive,signed_cos + sem_sim,2.0,0.2727272727272727,0.5151515151515151,0.9696969696969696,0.6423357664233577
logistic_lr,7_multi_abs_sem,0.7138329666383196,,,,regime,cosine_abs + sem_sim,2.0,0.4171820169133661,0.6563693629547371,0.9154585108628381,0.27477252274772523
